step,valid/loss,epoch,train/loss
3,0.941287100315094,0,
7,0.7678139209747314,1,
11,0.6276577115058899,2,
15,0.5085633397102356,3,
19,0.4074558913707733,4,
23,0.33306849002838135,5,
27,0.28360050916671753,6,
31,0.2514227032661438,7,
35,0.23654049634933472,8,
39,0.23677773773670197,9,
43,0.24136187136173248,10,
47,0.24246640503406525,11,
51,0.2411428689956665,12,
55,0.2384476512670517,13,
59,0.23603473603725433,14,
63,0.23497724533081055,15,
67,0.23462562263011932,16,
71,0.23463059961795807,17,
75,0.23468537628650665,18,
79,0.23465560376644135,19,
83,0.23458966612815857,20,
87,0.2346969097852707,21,
91,0.23467908799648285,22,
95,0.2347320020198822,23,
99,,24,0.2348979413509369
99,0.23485074937343597,24,
103,0.23473022878170013,25,
107,0.2346096634864807,26,
111,0.23455393314361572,27,
115,0.23445864021778107,28,
119,0.2343769520521164,29,
123,0.23443859815597534,30,
127,0.23445501923561096,31,
131,0.23451370000839233,32,
135,0.23452606797218323,33,
139,0.23440556228160858,34,
143,0.23441913723945618,35,
147,0.2344498485326767,36,
151,0.234482541680336,37,
155,0.23451605439186096,38,
159,0.23452900350093842,39,
163,0.23449218273162842,40,
167,0.23439854383468628,41,
171,0.23437899351119995,42,
175,0.23438318073749542,43,
179,0.2343272715806961,44,
183,0.23432467877864838,45,
187,0.2342548966407776,46,
191,0.2342836707830429,47,
195,0.2344442903995514,48,
199,,49,0.23331834375858307
199,0.23436510562896729,49,
203,0.23422859609127045,50,
207,0.23418724536895752,51,
211,0.23418569564819336,52,
215,0.23420104384422302,53,
219,0.23423656821250916,54,
223,0.23431448638439178,55,
227,0.23433898389339447,56,
231,0.2342759370803833,57,
235,0.23425611853599548,58,
239,0.23419101536273956,59,
243,0.2346513569355011,60,
247,0.2342134416103363,61,
251,0.23415203392505646,62,
255,0.23426353931427002,63,
259,0.23430213332176208,64,
263,0.2344042956829071,65,
267,0.23428410291671753,66,
271,0.2341843545436859,67,
275,0.23422397673130035,68,
279,0.23413020372390747,69,
283,0.23416770994663239,70,
287,0.2341410517692566,71,
291,0.23419813811779022,72,
295,0.23412509262561798,73,
299,,74,0.23403047025203705
299,0.23412427306175232,74,
303,0.23426377773284912,75,
307,0.2343442589044571,76,
311,0.23404671251773834,77,
315,0.2340063601732254,78,
319,0.23382043838500977,79,
323,0.23383088409900665,80,
327,0.2339458018541336,81,
331,0.2340761423110962,82,
335,0.23395094275474548,83,
339,0.23385515809059143,84,
343,0.23387664556503296,85,
347,0.2339233011007309,86,
351,0.23395095765590668,87,
355,0.2339630275964737,88,
359,0.23372536897659302,89,
363,0.23359625041484833,90,
367,0.23373274505138397,91,
371,0.2336830198764801,92,
375,0.23379838466644287,93,
379,0.23391947150230408,94,
383,0.23378406465053558,95,
387,0.23343026638031006,96,
391,0.2334093153476715,97,
395,0.23397380113601685,98,
399,,99,0.23529458045959473
399,0.23349890112876892,99,
403,0.23354031145572662,100,
407,0.23424245417118073,101,
411,0.23365212976932526,102,
415,0.23315294086933136,103,
419,0.2332717478275299,104,
423,0.23315367102622986,105,
427,0.2329893261194229,106,
431,0.2330228090286255,107,
435,0.23305676877498627,108,
439,0.23331744968891144,109,
443,0.23283687233924866,110,
447,0.23259606957435608,111,
451,0.23226697742938995,112,
455,0.23207588493824005,113,
459,0.23198343813419342,114,
463,0.2318236380815506,115,
467,0.23377150297164917,116,
471,0.23143556714057922,117,
475,0.2320798933506012,118,
479,0.22939175367355347,119,
483,0.22746284306049347,120,
487,0.2257564216852188,121,
491,0.40496161580085754,122,
495,0.23141692578792572,123,
499,,124,0.22999000549316406
499,0.23157958686351776,124,
503,0.23316635191440582,125,
507,0.2292984575033188,126,
511,0.2297150194644928,127,
515,0.22582966089248657,128,
519,0.22445474565029144,129,
523,0.22179023921489716,130,
527,0.2259112298488617,131,
531,0.22136016190052032,132,
535,0.2831141948699951,133,
539,0.2190399020910263,134,
543,0.22423385083675385,135,
547,0.23064737021923065,136,
551,0.2578197419643402,137,
555,0.2269359529018402,138,
559,0.2230059951543808,139,
563,0.22443616390228271,140,
567,0.2156723588705063,141,
571,0.25277233123779297,142,
575,0.234755739569664,143,
579,0.25160032510757446,144,
583,0.23174896836280823,145,
587,0.2293175458908081,146,
591,0.23137179017066956,147,
595,0.22812725603580475,148,
599,,149,0.22725063562393188
599,0.22593478858470917,149,
603,0.22036361694335938,150,
607,0.24739129841327667,151,
611,0.2128775715827942,152,
615,0.21611180901527405,153,
619,0.21271640062332153,154,
623,0.21716690063476562,155,
627,0.2102421373128891,156,
631,0.20871616899967194,157,
635,0.2125740945339203,158,
639,0.24362514913082123,159,
643,0.234541118144989,160,
647,0.21937109529972076,161,
651,0.22355102002620697,162,
655,0.22387543320655823,163,
659,0.22040024399757385,164,
663,0.20829562842845917,165,
667,0.21682491898536682,166,
671,0.25252124667167664,167,
675,0.20872178673744202,168,
679,0.21139374375343323,169,
683,0.2099504917860031,170,
687,0.20667162537574768,171,
691,0.2044391632080078,172,
695,0.2134142369031906,173,
699,,174,0.20883317291736603
699,0.2156936526298523,174,
703,0.20138493180274963,175,
707,0.19757947325706482,176,
711,0.19539572298526764,177,
715,0.1929125040769577,178,
719,0.19530779123306274,179,
723,0.1932438611984253,180,
727,0.1914273500442505,181,
731,0.1897977590560913,182,
735,0.1887856423854828,183,
739,0.18902164697647095,184,
743,0.1888008564710617,185,
747,0.1883976310491562,186,
751,0.18704000115394592,187,
755,0.18688340485095978,188,
759,0.1860811412334442,189,
763,0.18710722029209137,190,
767,0.18601517379283905,191,
771,0.18620261549949646,192,
775,0.1844080090522766,193,
779,0.18269389867782593,194,
783,0.18314656615257263,195,
787,0.18292579054832458,196,
791,0.18261213600635529,197,
795,0.1834549456834793,198,
799,,199,0.1817266047000885
799,0.18427830934524536,199,
803,0.18357501924037933,200,
807,0.18275919556617737,201,
811,0.181810200214386,202,
815,0.1815529614686966,203,
819,0.1810103803873062,204,
823,0.18338851630687714,205,
827,0.18495221436023712,206,
831,0.17883305251598358,207,
835,0.1838584691286087,208,
839,0.18734994530677795,209,
843,0.187785804271698,210,
847,0.1833685040473938,211,
851,0.18186959624290466,212,
855,0.17934522032737732,213,
859,0.17807959020137787,214,
863,0.17807509005069733,215,
867,0.17794187366962433,216,
871,0.17692267894744873,217,
875,0.1760452389717102,218,
879,0.17595143616199493,219,
883,0.17613714933395386,220,
887,0.17620615661144257,221,
891,0.17597874999046326,222,
895,0.17638565599918365,223,
899,,224,0.1820349544286728
899,0.17647553980350494,224,
903,0.17669324576854706,225,
907,0.18152055144309998,226,
911,0.18337400257587433,227,
915,0.1828080415725708,228,
919,0.18232077360153198,229,
923,0.1818518489599228,230,
927,0.179026260972023,231,
931,0.18182134628295898,232,
935,0.17913289368152618,233,
939,0.17792706191539764,234,
943,0.17669755220413208,235,
947,0.17646925151348114,236,
951,0.17608143389225006,237,
955,0.1738377809524536,238,
959,0.17845718562602997,239,
963,0.17448580265045166,240,
967,0.17560502886772156,241,
971,0.17821122705936432,242,
975,0.17910785973072052,243,
979,0.1798853874206543,244,
983,0.17872796952724457,245,
987,0.17648820579051971,246,
991,0.17616505920886993,247,
995,0.17515794932842255,248,
999,,249,0.17168326675891876
999,0.17522619664669037,249,
1003,0.18071889877319336,250,
1007,0.17876286804676056,251,
1011,0.1736305207014084,252,
1015,0.17794698476791382,253,
1019,0.18319247663021088,254,
1023,0.18238180875778198,255,
1027,0.18171651661396027,256,
1031,0.17734184861183167,257,
1035,0.17239463329315186,258,
1039,0.17144840955734253,259,
1043,0.17221949994564056,260,
1047,0.1737801879644394,261,
1051,0.1734727919101715,262,
1055,0.17288541793823242,263,
1059,0.17166714370250702,264,
1063,0.17408518493175507,265,
1067,0.17962923645973206,266,
1071,0.17670263350009918,267,
1075,0.1754092276096344,268,
1079,0.17408470809459686,269,
1083,0.17361736297607422,270,
1087,0.1737293004989624,271,
1091,0.17407828569412231,272,
1095,0.1740339994430542,273,
1099,,274,0.17251069843769073
1099,0.17324022948741913,274,
1103,0.17330573499202728,275,
1107,0.17208731174468994,276,
1111,0.17257465422153473,277,
1115,0.1719081550836563,278,
1119,0.17057205736637115,279,
1123,0.17132049798965454,280,
1127,0.17123199999332428,281,
1131,0.17148786783218384,282,
1135,0.17147094011306763,283,
1139,0.17135199904441833,284,
1143,0.17114926874637604,285,
1147,0.1710161715745926,286,
1151,0.1708354949951172,287,
1155,0.17113125324249268,288,
1159,0.17191916704177856,289,
1163,0.17163404822349548,290,
1167,0.17242710292339325,291,
1171,0.172221839427948,292,
1175,0.17369569838047028,293,
1179,0.1730705201625824,294,
1183,0.17106576263904572,295,
1187,0.17107747495174408,296,
1191,0.17111817002296448,297,
1195,0.171818345785141,298,
1199,,299,0.16706429421901703
1199,0.17345742881298065,299,
